video_name,scene_number,resolution,square_size,blocks_to_remove,alpha,neighbor_length,ref_stride,subvideo_length,bitrate,server_runtime,client_runtime,mse_ori_mean,psnr_ori_mean,ssim_ori_mean,vmaf_ori_mean,mse_inp_mean,psnr_inp_mean,ssim_inp_mean,vmaf_inp_mean
Tears_of_Steel_4k,3,640x352,16,30,0.5,2,10,12,143000,1,31,38.777,32.371833333333335,0.9057999999999999,39.44202596666666,699.2423333333334,19.87633333333333,0.8346833333333332,29.240881
Tears_of_Steel_4k,3,640x352,16,30,0.5,2,10,48,143000,1,33,38.777,32.371833333333335,0.9057999999999999,39.44202596666666,755.1981666666666,19.462166666666665,0.8274833333333333,29.464581133333333
Tears_of_Steel_4k,3,640x352,16,30,0.5,10,2,12,143000,1,29,38.777,32.371833333333335,0.9057999999999999,39.44202596666666,588.2389999999998,20.5665,0.8386666666666666,29.569465416666667
Tears_of_Steel_4k,3,640x352,16,30,0.5,10,2,48,143000,1,34,38.777,32.371833333333335,0.9057999999999999,39.44202596666666,663.1758333333332,19.99933333333333,0.8323833333333333,29.682719083333335
Tears_of_Steel_4k,3,640x352,16,30,0.5,10,10,12,143000,1,30,38.777,32.371833333333335,0.9057999999999999,39.44202596666666,625.2016666666666,20.27966666666667,0.8383333333333333,29.555143
Tears_of_Steel_4k,3,640x352,16,30,0.5,10,10,48,143000,1,30,38.777,32.371833333333335,0.9057999999999999,39.44202596666666,650.927,20.086999999999996,0.8385333333333331,29.60775355
Tears_of_Steel_4k,3,640x360,20,10,0.0,2,2,12,396000,8,40,17.235000000000003,35.9375,0.9363,62.861767633333336,48.356500000000004,31.566333333333333,0.9166333333333333,52.311284266666675
Tears_of_Steel_4k,3,640x360,20,10,0.0,2,2,48,396000,1,56,17.235000000000003,35.9375,0.9363,62.861767633333336,48.096500000000006,31.56683333333333,0.9163666666666666,52.336968750000004
Tears_of_Steel_4k,3,640x360,20,10,0.0,2,10,12,396000,1,26,17.235000000000003,35.9375,0.9363,62.861767633333336,51.32416666666667,31.367999999999995,0.9167500000000001,52.25215526666666
Tears_of_Steel_4k,3,640x360,20,10,0.0,2,10,48,396000,2,30,17.235000000000003,35.9375,0.9363,62.861767633333336,48.41116666666667,31.563333333333336,0.9167666666666668,52.30076233333333
Tears_of_Steel_4k,3,640x360,20,10,0.0,10,2,12,396000,2,25,17.235000000000003,35.9375,0.9363,62.861767633333336,48.65033333333333,31.554499999999997,0.9169,52.31704698333332
Tears_of_Steel_4k,3,640x360,20,10,0.0,10,2,48,396000,2,27,17.235000000000003,35.9375,0.9363,62.861767633333336,48.12633333333334,31.588166666666666,0.9164666666666665,52.33428928333333
