experiment_name,video_name,resolution,square_size,to_remove,alpha,bitrate,server_runtime,client_runtime,smoothing_factor,hnerv_ks,hnerv_enc_strds,hnerv_enc_dim,hnerv_fc_hw,hnerv_reduce,hnerv_lower_width,hnerv_dec_strds,hnerv_conv_type,hnerv_norm,hnerv_act,hnerv_workers,hnerv_batchSize,hnerv_epochs,hnerv_lr,hnerv_loss,hnerv_out_bias,hnerv_eval_freq,hnerv_quant_model_bit,hnerv_quant_embed_bit,propainter_neighbor_length,propainter_ref_stride,propainter_subvideo_length,propainter_mask_dilation,propainter_raft_iter,e2fgvi_step,e2fgvi_num_ref,e2fgvi_neighbor_stride,e2fgvi_savefps,mse_ori_mean,psnr_ori_mean,ssim_ori_mean,vmaf_ori_mean,lpips_ori_mean,mse_inp_mean,psnr_inp_mean,ssim_inp_mean,vmaf_inp_mean,lpips_inp_mean,empty
9912f5c23d29d6c254ca26c2fe6da4eb,bear,640x896,16,0.25,0.25,1056000,1449,507,0.25,0_3_3,5 4 4 2 2,64_16,9_16,1.2,32,5 4 4 2 2,convnext pshuffel,none,relu,16,2,100,0.001,Fusion6,tanh,1,8,6,,,,,,5,-1,2,24,842.9348780487805,19.411951219512193,0.5617195121951221,5.842672121951219,0.05463062185884972,258.280243902439,24.029756097560977,0.6862439024390243,11.995693853658537,0.042040792089409904,
610691165987497e5d36533f7aea18b1,blackswan,960x352,32,0.5,0.25,422000,351,182,0.75,0_3_3,5 4 4 2 2,64_16,9_16,1.2,32,5 4 4 2 2,convnext pshuffel,none,relu,16,2,50,0.001,Fusion6,tanh,10,8,6,,,,,,10,1,4,24,202.26559999999998,25.102199999999996,0.6844599999999998,0.63435904,0.01949905076995486,541.7988,20.8206,0.62808,1.16058118,0.020712403208017306,
d1e8816428f00755be82ba0e62c039c3,blackswan,960x352,32,10.0,0.75,560000,570,189,0.75,0_3_3,5 4 4 2 2,64_16,9_16,1.2,32,5 4 4 2 2,convnext pshuffel,none,relu,16,4,50,0.001,Fusion6,tanh,1,8,6,16,2,24,0,10,,,,,430.8128,21.811,0.6401400000000002,0.044062859999999995,0.02088316708803172,546.303,20.7908,0.62762,0.9717453200000001,0.020634270627051542,
5aa64b0dbbf071218a69c08c180776fa,bmx-trees,960x896,16,0.5,0.5,1056000,668,588,0.5,0_3_3,5 4 4 2 2,64_16,9_16,1.2,32,5 4 4 2 2,convnext pshuffel,none,relu,16,4,75,0.001,Fusion6,tanh,10,8,6,24,2,24,4,10,,,,,462.40212499999996,21.591250000000002,0.665675,6.0782097875000005,0.021057887293863993,4051.0993749999993,12.5535,0.5041749999999999,17.333637950000004,0.037089911440852975,
248bd1ce70e59a5c6071f4cd59bdf08a,gold-fish,640x1072,16,20.0,0.5,846000,946,451,0.75,0_3_3,5 4 4 2 2,64_16,9_16,1.2,32,5 4 4 2 2,convnext pshuffel,none,relu,16,2,100,0.001,Fusion6,tanh,3,8,6,,,,,,10,1,4,24,16.968333333333334,35.933717948717955,0.9468205128205125,42.201462487179484,0.0005071542308984732,193.1784615384615,25.31551282051282,0.8733717948717947,8.290214487179489,0.0010641319535445318,
96df64d6a4f3b2b008de3e835433cae6,bike-packing,960x512,32,0.25,0.75,928000,434,341,0.75,0_3_3,5 4 4 2 2,64_16,9_16,1.2,32,5 4 4 2 2,convnext pshuffel,none,relu,16,2,50,0.001,Fusion6,tanh,10,8,6,24,2,48,0,3,,,,,754.7989855072465,19.887826086956526,0.6913333333333334,0.8695746811594204,0.055950982118214344,629.8888405797101,20.182753623188404,0.6952028985507245,0.0942397536231884,0.06023611819398572,
8203e33062d3556d089c08fd8bc707bb,hike,1280x352,32,0.25,0.25,834000,1163,343,0.5,0_3_3,5 4 4 2 2,64_16,9_16,1.2,32,5 4 4 2 2,convnext pshuffel,none,relu,16,2,75,0.001,Fusion6,tanh,1,8,6,8,4,24,4,10,,,,,791.82575,19.182125,0.5712125,3.67882145,0.0591947351582348,924.182125,18.560750000000002,0.5644,4.6408665125,0.059996244870126204,
8dd56bf8acb9ff8a21fa391f44c33649,drift-turn,640x528,16,0.5,0.5,422000,857,224,0.25,0_3_3,5 4 4 2 2,64_16,9_16,1.2,32,5 4 4 2 2,convnext pshuffel,none,relu,16,2,75,0.001,Fusion6,tanh,1,8,6,24,4,48,0,30,,,,,321.796875,23.19171875,0.7053750000000001,5.00031509375,0.030629121451056514,1050.94265625,18.33390625,0.6293593749999999,5.331901078125,0.03840869347914117,
ca8be9a6b213c4f829cf74d2bd09f163,bmx-bumps,640x1056,32,0.25,0.75,1239000,1808,542,0.5,0_3_3,5 4 4 2 2,64_16,9_16,1.2,32,5 4 4 2 2,convnext pshuffel,none,relu,16,4,100,0.001,Fusion6,tanh,1,8,6,8,2,24,2,3,,,,,1467.853888888889,18.72866666666667,0.7355,8.779818944444447,0.016615648323002212,251.97822222222223,24.881777777777774,0.793711111111111,13.065487466666667,0.011796026584205569,
1444b689900a2bab865ea2d26ebbc769,breakdance-flare,640x720,16,0.5,0.75,573000,697,317,0.25,0_3_3,5 4 4 2 2,64_16,9_16,1.2,32,5 4 4 2 2,convnext pshuffel,none,relu,16,2,50,0.001,Fusion6,tanh,1,8,6,,,,,,10,-1,2,24,525.2011267605635,21.038028169014083,0.5645352112676054,3.512727112676056,0.03183454456148848,569.6090140845071,20.637042253521123,0.5493661971830986,5.3488721690140855,0.03217248080796755,
