video_name,scene_number,resolution,square_size,percentage_to_remove,alpha,neighbor_length,ref_stride,subvideo_length,bitrate,server_runtime,client_runtime,mse_ori_mean,psnr_ori_mean,ssim_ori_mean,vmaf_ori_mean,mse_inp_mean,psnr_inp_mean,ssim_inp_mean,vmaf_inp_mean
Tears_of_Steel_4k,3,640x352,16,0.75,0.5,10,2,12,143000,2,21,39.148833333333336,32.32516666666667,0.9055833333333332,39.030989366666674,586.0243333333334,20.58616666666667,0.8389666666666665,29.565321033333337
Tears_of_Steel_4k,3,640x352,16,0.75,0.5,10,2,48,143000,2,22,39.148833333333336,32.32516666666667,0.9055833333333332,39.030989366666674,667.1534999999999,19.967499999999998,0.8324166666666667,29.658598366666663
Tears_of_Steel_4k,3,640x352,16,0.75,0.5,10,10,12,143000,2,19,39.148833333333336,32.32516666666667,0.9055833333333332,39.030989366666674,619.3716666666666,20.331833333333332,0.8389,29.557882783333337
Tears_of_Steel_4k,3,640x352,16,0.75,0.5,10,10,48,143000,1,21,39.148833333333336,32.32516666666667,0.9055833333333332,39.030989366666674,649.7321666666666,20.08983333333333,0.8387333333333332,29.57571166666667
Tears_of_Steel_4k,3,640x352,16,0.75,1.0,2,2,12,143000,3,30,39.018833333333326,32.34216666666667,0.90555,39.03764648333333,683.2051666666666,19.856333333333332,0.82685,30.43931488333333
Tears_of_Steel_4k,3,640x352,16,0.75,1.0,2,2,48,143000,1,37,39.018833333333326,32.34216666666667,0.90555,39.03764648333333,726.3014999999999,19.6085,0.8204999999999999,30.532700050000006
Tears_of_Steel_4k,3,640x352,16,0.75,1.0,2,10,12,143000,2,27,39.018833333333326,32.34216666666667,0.90555,39.03764648333333,651.2581666666666,20.122333333333337,0.8351333333333333,30.253904200000004
Tears_of_Steel_4k,3,640x352,16,0.75,1.0,2,10,48,143000,2,28,39.018833333333326,32.34216666666667,0.90555,39.03764648333333,738.0781666666668,19.58233333333333,0.8289333333333333,30.429310483333335
Tears_of_Steel_4k,3,640x352,16,0.75,1.0,10,2,12,143000,2,23,39.018833333333326,32.34216666666667,0.90555,39.03764648333333,592.9793333333333,20.555500000000002,0.83915,30.502849250000004
Tears_of_Steel_4k,3,640x352,16,0.75,1.0,10,2,48,143000,2,21,39.018833333333326,32.34216666666667,0.90555,39.03764648333333,683.2453333333335,19.86,0.8320500000000001,30.56170605
Tears_of_Steel_4k,3,640x352,16,0.75,1.0,10,10,12,143000,1,21,39.018833333333326,32.34216666666667,0.90555,39.03764648333333,623.7565,20.2975,0.83885,30.49553168333333
Tears_of_Steel_4k,3,640x352,16,0.75,1.0,10,10,48,143000,2,19,39.018833333333326,32.34216666666667,0.90555,39.03764648333333,646.6453333333334,20.113500000000002,0.8386666666666667,30.561027450000005
Tears_of_Steel_4k,3,640x360,20,0.25,0.0,2,2,12,431000,10,30,16.317166666666665,36.17183333333333,0.9381833333333334,64.47373391666666,39.53783333333334,32.3855,0.9212666666666667,54.97159403333333
Tears_of_Steel_4k,3,640x360,20,0.25,0.0,2,2,48,431000,2,33,16.317166666666665,36.17183333333333,0.9381833333333334,64.47373391666666,39.41316666666666,32.4,0.9212166666666666,54.98695268333333
Tears_of_Steel_4k,3,640x360,20,0.25,0.0,2,10,12,431000,1,21,16.317166666666665,36.17183333333333,0.9381833333333334,64.47373391666666,40.29149999999999,32.31766666666667,0.92145,54.93485221666667
Tears_of_Steel_4k,3,640x360,20,0.25,0.0,2,10,48,431000,2,23,16.317166666666665,36.17183333333333,0.9381833333333334,64.47373391666666,39.258666666666656,32.414,0.9214333333333332,54.97692650000001
Tears_of_Steel_4k,3,640x360,20,0.25,0.0,10,2,12,431000,1,20,16.317166666666665,36.17183333333333,0.9381833333333334,64.47373391666666,39.22916666666666,32.42283333333333,0.9214666666666667,54.98590346666667
Tears_of_Steel_4k,3,640x360,20,0.25,0.0,10,2,48,431000,2,21,16.317166666666665,36.17183333333333,0.9381833333333334,64.47373391666666,39.2815,32.4285,0.9212166666666666,55.00192643333333
Tears_of_Steel_4k,3,640x360,20,0.25,0.0,10,10,12,431000,1,20,16.317166666666665,36.17183333333333,0.9381833333333334,64.47373391666666,39.373999999999995,32.409666666666666,0.9214833333333332,54.98382766666667
Tears_of_Steel_4k,3,640x360,20,0.25,0.0,10,10,48,431000,2,20,16.317166666666665,36.17183333333333,0.9381833333333334,64.47373391666666,39.05916666666667,32.44199999999999,0.92145,54.99434700000002
Tears_of_Steel_4k,3,640x360,20,0.25,0.5,2,2,12,431000,4,31,16.29083333333333,36.17716666666667,0.9380499999999999,64.54483511666666,39.29366666666667,32.40266666666667,0.9237166666666666,56.22791231666667
Tears_of_Steel_4k,3,640x360,20,0.25,0.5,2,2,48,431000,1,36,16.29083333333333,36.17716666666667,0.9380499999999999,64.54483511666666,38.826333333333324,32.45016666666667,0.9236,56.24087551666667
Tears_of_Steel_4k,3,640x360,20,0.25,0.5,2,10,12,431000,2,20,16.29083333333333,36.17716666666667,0.9380499999999999,64.54483511666666,39.799,32.3515,0.9238833333333333,56.194234966666656
Tears_of_Steel_4k,3,640x360,20,0.25,0.5,2,10,48,431000,2,21,16.29083333333333,36.17716666666667,0.9380499999999999,64.54483511666666,39.05366666666667,32.4245,0.9238666666666666,56.230229900000005
Tears_of_Steel_4k,3,640x360,20,0.25,0.5,10,2,12,431000,1,22,16.29083333333333,36.17716666666667,0.9380499999999999,64.54483511666666,38.936499999999995,32.45883333333333,0.9239166666666666,56.235491483333334
Tears_of_Steel_4k,3,640x360,20,0.25,0.5,10,2,48,431000,1,22,16.29083333333333,36.17716666666667,0.9380499999999999,64.54483511666666,38.81349999999999,32.47116666666667,0.9236333333333334,56.24441358333334
Tears_of_Steel_4k,3,640x360,20,0.25,0.5,10,10,12,431000,2,21,16.29083333333333,36.17716666666667,0.9380499999999999,64.54483511666666,39.017500000000005,32.44766666666667,0.9239333333333334,56.2331675
Tears_of_Steel_4k,3,640x360,20,0.25,0.5,10,10,48,431000,2,20,16.29083333333333,36.17716666666667,0.9380499999999999,64.54483511666666,38.77866666666666,32.47716666666666,0.9238999999999999,56.2383769
Tears_of_Steel_4k,3,640x360,20,0.25,1.0,2,2,12,431000,4,29,16.240166666666667,36.19899999999999,0.93835,64.67838423333335,38.25783333333333,32.501999999999995,0.9245000000000001,56.898575933333326
